2003/01,39003059
2003/02,36557544
2003/03,37973043
2003/04,34371160
2003/05,33687183
2003/06,31482540
2003/07,30947973
2003/08,28808029
2003/09,28326473
2003/10,27970264
2003/11,25212068
2003/12,26897506
2004/01,22653077
2004/02,21594026
2004/03,24432039
2004/04,22564261
2004/05,22616512
2004/06,22335969
2004/07,22483183
2004/08,22359941
2004/09,20524332
2004/10,21842386
2004/11,22628588
2004/12,23129332
2005/01,21428411
2005/02,19863503
2005/03,23141588
2005/04,21210316
2005/05,22816981
2005/06,21625218
2005/07,21353233
2005/08,22806336
2005/09,21444232
2005/10,22223146
2005/11,22602936
2005/12,23312438
2006/01,20929127
2006/02,20764315
2006/03,23080155
2006/04,20958958
2006/05,23424821
2006/06,22554437
2006/07,22238133
2006/08,22974240
2006/09,22067869
2006/10,22807416
2006/11,22932123
2006/12,23053479
2007/01,23873701
2007/02,21089226
2007/03,23053059
2007/04,22889461
2007/05,24508689
2007/06,22598606
2007/07,24741317
2007/08,24207045
2007/09,21801121
2007/10,26715832
2007/11,25161304
2007/12,26182677
2008/01,26205579
2008/02,23965348
2008/03,26058945
2008/04,26317834
2008/05,26689962
2008/06,26236769
2008/07,28355169
2008/08,25690791
2008/09,27240601
2008/10,27619023
2008/11,25471047
2008/12,29218004
2009/01,25482518
2009/02,24893745
2009/03,28194916
2009/04,26727151
2009/05,26987340
2009/06,28422416
2009/07,28500100
2009/08,27331757
2009/09,28868890
2009/10,28062837
2009/11,29045903
2009/12,31698701
2010/01,28136280
2010/02,26705236
2010/03,31731792
2010/04,29414677
2010/05,30595765
2010/06,30296682
2010/07,31368990
2010/08,31778205
2010/09,30806427
2010/10,31243006
2010/11,33309655
2010/12,34316514
2011/01,32911641
2011/02,29515611
2011/03,34476728
2011/04,32605217
2011/05,35345748
2011/06,33899575
2011/07,34193332
2011/08,35993151
2011/09,34672198
2011/10,35056717
2011/11,35223412
2011/12,36677350
2012/01,35327175
2012/02,33667180
2012/03,35726343
2012/04,35134296
2012/05,37465639
2012/06,35435317
2012/07,37777837
2012/08,35968850
2012/09,36003901
2012/10,37757787
2012/11,37081801
2012/12,38237473
2013/01,36730911
2013/02,33191043
2013/03,36653458
2013/04,36619858
2013/05,38122545
2013/06,35708419
2013/07,38857191
2013/08,36993199
2013/09,36042647
2013/10,37942805
2013/11,36736184
2013/12,38906682
2014/01,36751932
2014/02,33463148
2014/03,37447037
2014/04,36241302
2014/05,37564434
2014/06,36911645
2014/07,39475858
2014/08,37650907
2014/09,37486558
2014/10,39047454
2014/11,37787637
2014/12,40641544
2015/01,37903459
2015/02,34399467
2015/03,39077959
2015/04,37873732
2015/05,39474121
2015/06,37282592
2015/07,40162174
2015/08,39301883
2015/09,38622390
2015/10,41207806
2015/11,39844307
2015/12,42230428
2016/01,40094164
2016/02,37381595
2016/03,41468108
2016/04,40201757
2016/05,42796473
2016/06,41736358
2016/07,43400824
2016/08,43105664
2016/09,41490660
2016/10,43593144
2016/11,42952423
2016/12,45310595
2017/01,43910345
2017/02,40972685
2017/03,45476155
2017/04,43840183
2017/05,46592242
2017/06,44747154
2017/07,47232982
2017/08,46140324
2017/09,46826566
2017/10,45416733
2017/11,46905396
2017/12,48029599
2018/01,48212623
2018/02,43271470
2018/03,48700542
2018/04,47739738
2018/05,49948107
2018/06,47789258
2018/07,51439341
2018/08,49300531
2018/09,48437481
2018/10,51739376
2018/11,50341275
2018/12,51765935
2019/01,52017579
2019/02,45447319
2019/03,51657678
2019/04,50703371
2019/05,53404860
2019/06,50486048
2019/07,53708167
2019/08,52465553
2019/09,50874115
2019/10,53997664
2019/11,53794614
2019/12,55889248
2020/01,54217410
2020/02,47456178
2020/03,47842988
2020/04,48165421
2020/05,52246516
2020/06,51676859
2020/07,53124206
2020/08,51785217
2020/09,52354938
2020/10,52743573
2020/11,53067009
2020/12,52263133
2021/01,51535254
2021/02,48859811
2021/03,55834038
2021/04,54597103
2021/05,57027422
2021/06,55772286
2021/07,58167270
2021/08,55891307
2021/09,56344221
2021/10,59283146
2021/11,59905360
2021/12,60019003
2022/01,60408050
2022/02,52455537
2022/03,60139305
2022/04,61066188
2022/05,64933419
2022/06,62871749
2022/07,65806421
2022/08,65000559
2022/09,63882023
2022/10,66388297
2022/11,65224427
2022/12,66883892
